ECA	logFC	PValue	FDR
ECA0070	-2.6147965543	1.63764494757251E-005	0.000982587
ECA0071	-2.3969430969	0.000016239	0.000982587
ECA0072	-2.5732818604	3.4472429418548E-005	0.0017157868
ECA0075	-2.0301927884	0.000243606	0.0082076479
ECA0096	-1.9464117536	0.0001347307	0.0051804106
ECA0097	-2.0596571954	0.0020786614	0.0437718126
ECA0118	-1.8695541372	0.0015751506	0.036311367
ECA0119	-1.9737387097	0.0011400173	0.028052111
ECA0122	1.5596479103	0.0020891205	0.0437815685
ECA0225	1.5620462651	0.000743866	0.0198666663
ECA0310	-2.7230773408	4.31372666140648E-005	0.0020762772
ECA0374	-4.0822106854	1.47671838070715E-008	0.000003234
ECA0375	-2.844260371	2.1767004368981E-006	0.000190679
ECA0382	-1.4759875088	0.0020167548	0.0430896874
ECA0391	3.08952946	2.0021703843884E-005	0.0011692675
ECA0421	-2.5273408465	9.55246510303822E-007	9.73018538402497E-005
ECA0438	-2.529010939	0.0010370312	0.0264081189
ECA0439	-2.3683451161	0.0009986536	0.0255795484
ECA0440	-2.6352275343	0.0008075802	0.0214375834
ECA0450	-1.8181350826	0.001133248	0.0280430854
ECA0481	-1.9971054408	0.0017191046	0.0386512961
ECA0487	-2.6074348963	0.0006444036	0.018092871
ECA0488	-2.6801778682	5.08643253979355E-005	0.0023700611
ECA0489	-2.4908165825	0.0015728703	0.036311367
ECA0490	-2.6408982342	0.0003305636	0.0104163213
ECA0491	-2.02260788	0.0006551247	0.0182767274
ECA0492	-2.2280634571	0.001918076	0.0414985415
ECA0493	-2.539758728	0.0001038991	0.0042530671
ECA0494	-2.7889583617	0.0006013052	0.01699172
ECA0495	-2.4303800488	0.0007139231	0.0193023647
ECA0496	-2.215033819	0.0002694265	0.0086771185
ECA0497	-1.8821512034	0.0022309683	0.0454901663
ECA0600	3.1880132565	7.20155091320192E-006	0.000517095
ECA0601	4.0238880708	1.0518747977526E-006	0.0001047094
ECA0602	3.4857833652	0.000000054	9.45446723820949E-006
ECA0603	3.6680380846	2.2928816391021E-009	7.17344398519085E-007
ECA0604	3.3394722856	1.0748053737995E-007	1.62332673697993E-005
ECA0605	3.3136415056	2.34758776413271E-006	0.0002016164
ECA0606	3.7637177953	1.26165124046508E-008	2.90843812275634E-006
ECA0607	3.4419941524	5.32961250023758E-010	1.94530856258672E-007
ECA0608	3.8750203602	2.67797883220919E-009	0.000000782
ECA0609	4.8301908239	8.23818498020213E-009	2.00462501184919E-006
ECA0610	3.6943681813	4.8206822548803E-008	8.79774511515655E-006
ECA0722	-1.7493241925	0.0003459409	0.0108230083
ECA0732	-2.1294198239	0.0002943492	0.009410581
ECA0740	-2.8751418359	1.46539737505251E-006	0.0001337175
ECA0741	-3.2204794578	1.31873506396659E-007	1.86324502586248E-005
ECA0742	-3.4008637397	0.000023988	0.0012884886
